track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
13,KENX20210814_100236_V06,0,0.069,281.99,367.655212,15.820625,-74.17,42.281809,7910.312653,20210814_060236
13,KENX20210814_100640_V06,4,-1.000,281.99,367.655212,22.180625,-74.17,42.281809,11090.312653,20210814_060640
13,KENX20210814_101018_V06,8,0.543,281.46,375.994496,23.654273,-74.18,42.244268,11827.136299,20210814_061018
13,KENX20210814_101356_V06,11,-1.000,281.17,380.513850,25.776185,-74.18,42.223923,12888.092339,20210814_061356
13,KENX20210814_101712_V06,15,0.387,283.44,381.218569,24.989811,-74.16,42.220764,12494.905375,20210814_061712
13,KENX20210814_102050_V06,18,-1.000,284.22,383.583429,25.647780,-74.16,42.210123,12823.890165,20210814_062050
13,KENX20210814_102440_V06,22,0.291,282.93,394.118745,32.457528,-74.17,42.162692,16228.764151,20210814_062440
18,KENX20210814_101018_V06,8,0.060,398.84,320.631592,32.802658,-73.46,42.491946,16401.329041,20210814_061018
18,KENX20210814_101356_V06,11,0.272,399.82,321.444030,36.585915,-73.46,42.488258,18292.957696,20210814_061356
1,KENX20210814_093259_V06,-30,0.268,348.49,358.005066,27.833820,-73.77,42.324921,13916.910172,20210814_053259
2,KENX20210814_093259_V06,-30,0.166,272.36,398.775757,40.503944,-74.23,42.141654,20251.972198,20210814_053259
2,KENX20210814_093638_V06,-26,0.184,280.25,393.192444,32.640644,-74.18,42.166846,16320.322037,20210814_053638
9,KENX20210814_095527_V06,-7,0.071,392.68,214.194061,5.463470,-73.50,42.971193,2731.735229,20210814_055527
11,KENX20210814_100236_V06,0,0.154,460.76,316.464264,20.866394,-73.09,42.508105,10433.197021,20210814_060236
15,KENX20210814_100640_V06,4,0.076,394.39,337.510956,43.119720,-73.49,42.416111,21559.860229,20210814_060640
16,KENX20210814_101018_V06,8,0.183,171.80,345.454254,37.666904,-74.84,42.379145,18833.452225,20210814_061018
24,KENX20210814_103614_V06,34,0.135,244.64,252.593719,14.533531,-74.40,42.799266,7266.765594,20210814_063614
30,KENX20210814_110647_V06,64,0.085,59.21,418.875946,68.674118,-75.52,42.042020,34337.059021,20210814_070647
30,KENX20210814_111038_V06,68,0.053,55.13,416.554016,59.894077,-75.54,42.052153,29947.038651,20210814_071038
1,KENX20211015_104212_V06,-27,0.103,267.82,422.264343,60.961231,-74.26,42.035877,30480.615616,20211015_064212
2,KENX20211015_111815_V06,9,0.065,233.19,249.242401,16.219246,-74.47,42.814123,8109.622955,20211015_071815
