track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,notes
1,KBUF19960224_115911,0,-0.094,262.40,437.950000,50.450000,-77.89,43.114705,25225.000000,1234
2-5,KBUF19960224_120502,6,-0.053,236.10,446.000000,33.100000,-77.84,43.232686,16550.000000,
2-5,KBUF19960224_121052,11,0.000,236.10,446.000000,46.600000,-77.84,43.232686,23300.000000,
2-5,KBUF19960224_121642,17,-0.286,229.61,454.197959,54.442857,-77.79,43.261471,27221.428571,
2-5,KBUF19960224_122232,23,-0.111,232.94,455.650337,56.638306,-77.78,43.246431,28319.153173,
3,KBUF19960224_120502,6,-0.061,163.65,63.600000,28.400000,-80.20,43.552970,14200.000000,
3,KBUF19960224_121052,11,-0.092,163.78,62.862782,38.435077,-80.20,43.552332,19217.538644,
2-5,KBUF19960224_122823,29,0.378,270.90,439.150000,59.250000,-77.88,43.076397,29625.000000,
7,KBUF19960224_122823,29,0.221,525.65,451.650000,44.750000,-77.82,41.929231,22375.000000,testing 2 boxes
7,KBUF19960224_123413,35,0.243,528.61,459.053485,52.307909,-77.78,41.915557,26153.954424,
10,KBUF19960225_114727,-11,-0.234,281.55,192.450000,57.050000,-79.40,43.029749,28525.000000,
10,KBUF19960225_115317,-5,-0.434,281.65,189.191673,67.910439,-79.42,43.029171,33955.219334,
11,KBUF19960226_112903,-27,-0.300,261.55,351.050000,17.850000,-78.42,43.121234,8925.000000,bleh bleh
11,KBUF19960226_113857,-18,-0.590,263.23,348.319273,37.886233,-78.44,43.113732,18943.116740,
12,KBUF19960226_115845,2,0.248,366.60,62.350000,26.150000,-80.19,42.639652,13075.000000,
13,KBUF19960228_115435,1,0.458,258.60,356.450000,22.850000,-78.39,43.134415,11425.000000,
15,KBUF19960228_115435,1,-0.124,297.40,316.150000,15.850000,-78.64,42.960269,7925.000000,
18,KBUF19960229_115152,0,0.025,340.40,249.450000,11.850000,-79.05,42.766358,5925.000000,
18,KBUF19960229_120133,10,0.118,332.52,236.932810,37.027877,-79.12,42.801605,18513.938714,
18,KBUF19960229_121112,20,-0.038,333.06,231.964188,42.537808,-79.15,42.799063,21268.903944,
18,KBUF19960229_122053,29,-0.176,332.20,230.133197,49.035814,-79.16,42.802877,24517.907210,
19,KBUF19960229_120133,10,0.338,291.20,200.350000,35.350000,-79.35,42.986587,17675.000000,
19,KBUF19960229_121112,20,0.255,288.80,198.527762,52.075677,-79.36,42.997346,26037.838332,
19,KBUF19960229_122053,29,0.280,285.61,201.604793,53.405458,-79.34,43.011783,26702.729231,
19,KBUF19960229_123033,39,0.265,287.36,209.091625,48.750515,-79.29,43.004122,24375.257366,
19,KBUF19960229_124014,49,0.056,284.80,208.135948,50.775293,-79.30,43.015627,25387.646483,
19,KBUF19960229_124954,58,0.000,282.81,207.939741,52.101458,-79.30,43.024565,26050.728786,
19,KBUF19960229_125934,68,0.040,285.24,212.192735,47.837645,-79.28,43.013780,23918.822736,
19,KBUF19960229_130914,78,0.000,285.71,214.557017,45.997488,-79.26,43.011744,22998.743774,
19,KBUF19960229_131854,87,0.000,286.13,216.684870,44.341345,-79.25,43.009910,22170.672708,
19,KBUF19960229_132834,97,0.120,284.56,206.832449,48.906770,-79.31,43.016660,24453.384881,
19,KBUF19960229_133815,107,-0.112,284.38,199.419987,51.414056,-79.35,43.017259,25707.027926,
19,KBUF19960229_134755,116,0.000,284.19,193.149727,53.527234,-79.39,43.017872,26763.617001,
19,KBUF19960229_135736,126,-0.059,280.98,204.254957,51.178651,-79.32,43.032698,25589.325316,
19,KBUF19960229_140716,136,-0.100,285.36,204.250860,51.529528,-79.32,43.013004,25764.764210,
20,KBUF19960301_112508,-25,-0.049,163.70,378.300000,46.600000,-78.25,43.561015,23300.000000,
21,KBUF19960301_113448,-16,-0.332,163.95,399.300000,31.900000,-78.12,43.559270,15950.000000,
21,KBUF19960301_114428,-6,-0.608,157.08,412.398156,45.537768,-78.04,43.589706,22768.883906,this is a test

